CustomerID,CustomerName,CustomerSegment,City,State
C00001,Ishita Rao,Consumer,Ranchi,Jharkhand
C00002,Ananya Kumar,Consumer,Ranchi,Jharkhand
C00003,Rahul Singh,Corporate,Kochi,Kerala
C00004,Nikhil Reddy,Consumer,Chennai,Tamil Nadu
C00005,Pooja Mehta,Consumer,Raipur,Chhattisgarh
C00006,Sanjay Mehta,Small Business,Jaipur,Rajasthan
C00007,Meera Mishra,Consumer,Hyderabad,Telangana
C00008,Neha Yadav,Consumer,Chennai,Tamil Nadu
C00009,Vikram Kumar,Corporate,Ranchi,Jharkhand
C00010,Vikram Naidu,Consumer,New Delhi,Delhi
C00011,  Manish Verma  ,Corporate,Ranchi,Jharkhand
C00012,Aditya Iyer,Consumer,Bengaluru,Karnataka
C00013,Aditya Das,Premium,Bhubaneswar,Odisha
C00014,Arjun Nair,Premium,Panaji,Goa
C00015,Ravi Gupta,Small Business,Bhubaneswar,Odisha
C00016,Ravi Sharma,Consumer,New Delhi,Delhi
C00017,Ravi Singh,Consumer,Mumbai,Maharashtra
C00018,Vikram Joshi,Corporate,Patna,Bihar
C00019,Sanjay Mehta,Consumer,Raipur,Chhattisgarh
C00020,Aditya Rao,Consumer,Jaipur,Rajasthan
C00021,Pooja Naidu,Consumer,Chennai,Tamil Nadu
C00022,Sneha Patel,Consumer,Indore,Madhya Pradesh
C00023,Meera Mishra,Consumer,Ranchi,Jharkhand
C00024,Sanjay Reddy,Corporate,Patna,Bihar
C00025,Aditya Patel,Consumer,Ahmedabad,Gujarat
C00026,Manish Kumar,Premium,Patna,Bihar
C00027,Arjun Kumar,Consumer,Jaipur,Rajasthan
C00028,Priya Reddy,Consumer,Mumbai,Maharashtra
C00029,Vivaan Patel,Consumer,Kolkata,West Bengal
C00030,Ananya Nair,Corporate,Kochi,Kerala
C00031,Kiran Mishra,Consumer,Patna,Bihar
C00032,Meera Yadav,Small Business,Mumbai,Maharashtra
C00033,Aarav Verma,Consumer,Lucknow,Uttar Pradesh
C00034,Rahul Patel,Corporate,Kochi,Kerala
C00035,Ananya Singh,Consumer,Ranchi,Jharkhand
C00036,Manish Joshi,Consumer,Bengaluru,Karnataka
C00037,Ravi Reddy,Premium,Hyderabad,Telangana
C00038,Pooja Reddy,Small Business,Bengaluru,Karnataka
C00039,Manish Patel,Small Business,Patna,Bihar
C00040,Neha Mehta,Corporate,Ranchi,Jharkhand
C00041,Ishita Das,Corporate,Ludhiana,Punjab
C00042,Vikram Joshi,Small Business,Chennai,Tamil Nadu
C00043,Priya Mehta,Corporate,Indore,Madhya Pradesh
C00044,Rahul Singh,Consumer,Ahmedabad,Gujarat
C00045,Priya Kumar,Consumer,Panaji,Goa
C00046,Vikram Rao,Consumer,Panaji,Goa
C00047,Vikram Gupta,Corporate,Bhubaneswar,Odisha
C00048,Rahul Singh,Premium,Ahmedabad,Gujarat
C00049,Manish Mishra,Consumer,Kolkata,West Bengal
C00050,Priya Joshi,Small Business,New Delhi,Delhi
C00051,Pooja Patel,Corporate,New Delhi,Delhi
C00052,Ishita Iyer,Consumer,Patna,Bihar
C00053,Meera Sharma,Corporate,Kochi,Kerala
C00054,Sneha Mishra,Consumer,Kochi,Kerala
C00055,Kavya Iyer,Small Business,Ranchi,Jharkhand
C00056,Neha Reddy,Premium,Hyderabad,Telangana
C00057,Aditya Naidu,Small Business,Bhubaneswar,Odisha
C00058,Ananya Nair,Small Business,Ranchi,Jharkhand
C00059,Ishita Yadav,Consumer,Ranchi,Jharkhand
C00060,Meera Nair,Consumer,Ranchi,Jharkhand
C00061,Kavya Kumar,Corporate,Lucknow,Uttar Pradesh
C00062,Aarav Nair,Consumer,Kochi,Kerala
C00063,Sneha Das,Small Business,Kolkata,West Bengal
C00064,Sneha Verma,Corporate,Bhubaneswar,Odisha
C00065,Manish Mishra,Consumer,Chennai,Tamil Nadu
C00066,Meera Reddy,Corporate,Chennai,Tamil Nadu
C00067,Ananya Yadav,Corporate,Bhubaneswar,Odisha
C00068,Meera Rao,Small Business,Bhubaneswar,Odisha
C00069,Ishita Iyer,Consumer,Patna,Bihar
C00070,Sneha Rao,Consumer,Vijayawada,Andhra Pradesh
C00071,Aditya Reddy,Consumer,Ranchi,Jharkhand
C00072,Meera Gupta,Small Business,Raipur,Chhattisgarh
C00073,Neha Naidu,Small Business,Kochi,Kerala
C00074,Kavya Verma,Consumer,Raipur,Chhattisgarh
C00075,Nikhil Sharma,Premium,Ludhiana,Punjab
C00076,Ananya Reddy,Small Business,Kolkata,West Bengal
C00077,Kavya Reddy,Corporate,Indore,Madhya Pradesh
C00078,Aarav Iyer,Consumer,Chennai,Tamil Nadu
C00079,Priya Das,Consumer,Hyderabad,Telangana
C00080,Nikhil Verma,Consumer,Patna,Bihar
C00081,Vikram Joshi,Small Business,Bengaluru,Karnataka
C00082,Sneha Reddy,Premium,Raipur,Chhattisgarh
C00083,Sanjay Iyer,Small Business,Bengaluru,Karnataka
C00084,Aarav Reddy,Premium,Mumbai,Maharashtra
C00085,Pooja Kumar,Consumer,Bengaluru,Karnataka
C00086,Pooja Yadav,Consumer,Ludhiana,Punjab
C00087,Rahul Verma,Small Business,Vijayawada,Andhra Pradesh
C00088,Ravi Patel,Premium,Chennai,Tamil Nadu
C00089,Pooja Yadav,Consumer,Mumbai,Maharashtra
C00090,Arjun Sharma,Corporate,Bengaluru,Karnataka
C00091,Ravi Naidu,Small Business,Ranchi,Jharkhand
C00092,Rahul Sharma,Small Business,Vijayawada,Andhra Pradesh
C00093,Manish Reddy,Corporate,Ranchi,Jharkhand
C00094,Ravi Mishra,Consumer,Bhubaneswar,Odisha
C00095,Rahul Reddy,Consumer,New Delhi,Delhi
C00096,Sneha Das,Corporate,Chennai,Tamil Nadu
C00097,Sanjay Verma,Small Business,Hyderabad,Telangana
C00098,Vivaan Patel,Consumer,Chennai,Tamil Nadu
C00099,Meera Joshi,Corporate,Hyderabad,Telangana
C00100,Sneha Sharma,Corporate,Ranchi,Jharkhand
C00101,Aarav Patel,Small Business,Bengaluru,Karnataka
C00102,Ananya Kumar,Consumer,Indore,Madhya Pradesh
C00103,Arjun Gupta,Consumer,Bhubaneswar,Odisha
C00104,Sneha Mehta,Corporate,Ranchi,Jharkhand
C00105,Neha Verma,Premium,Indore,Madhya Pradesh
C00106,Sneha Singh,Corporate,Chennai,Tamil Nadu
C00107,Pooja Singh,Premium,Lucknow,Uttar Pradesh
C00108,Arjun Kumar,Consumer,Ludhiana,Punjab
C00109,Ananya Yadav,Consumer,Kolkata,West Bengal
C00110,Nikhil Kumar,Consumer,New Delhi,Delhi
C00111,Vikram Nair,Corporate,Hyderabad,Telangana
C00112,Ananya Iyer,Consumer,Panaji,Goa
C00113,Ananya Mishra,Corporate,Chennai,Tamil Nadu
C00114,Kavya Rao,Consumer,Kochi,Kerala
C00115,Ananya Verma,Consumer,Mumbai,Maharashtra
C00116,Vivaan Nair,Corporate,New Delhi,Delhi
C00117,Meera Joshi,Corporate,Jaipur,Rajasthan
C00118,Kavya Rao,Small Business,Ludhiana,Punjab
C00119,Sneha Patel,Corporate,Ahmedabad,Gujarat
C00120,Sneha Rao,Consumer,Panaji,Goa
C00121,Meera Joshi,Premium,Patna,Bihar
C00122,Sanjay Joshi,Corporate,Indore,Madhya Pradesh
C00123,Ishita Patel,Small Business,Vijayawada,Andhra Pradesh
C00124,Kiran Verma,Consumer,Mumbai,Maharashtra
C00125,Vivaan Mishra,Consumer,Hyderabad,Telangana
C00126,Vivaan Singh,Consumer,Indore,Madhya Pradesh
C00127,Arjun Das,Small Business,New Delhi,Delhi
C00128,Manish Sharma,Small Business,Mumbai,Maharashtra
C00129,Sanjay Gupta,Consumer,Kolkata,West Bengal
C00130,Rahul Nair,Consumer,Ahmedabad,Gujarat
C00131,Kiran Joshi,Premium,Lucknow,Uttar Pradesh
C00132,Ananya Mehta,Consumer,Ranchi,Jharkhand
C00133,Pooja Kumar,Consumer,Bhubaneswar,Odisha
C00134,Manish Iyer,Consumer,Kolkata,West Bengal
C00135,Rahul Mehta,Consumer,Kolkata,West Bengal
C00136,Meera Kumar,Small Business,Lucknow,Uttar Pradesh
C00137,Nikhil Naidu,Small Business,Raipur,Chhattisgarh
C00138,Ravi Naidu,Consumer,Jaipur,Rajasthan
C00139,Ananya Mishra,Consumer,Lucknow,Uttar Pradesh
C00140,Ravi Mehta,Consumer,Panaji,Goa
C00141,Priya Yadav,Consumer,New Delhi,Delhi
C00142,Rahul Yadav,Consumer,Chennai,Tamil Nadu
C00143,Rahul Patel,Consumer,Ludhiana,Punjab
C00144,Nikhil Nair,Consumer,Mumbai,Maharashtra
C00145,Vivaan Singh,Small Business,Bengaluru,Karnataka
C00146,Sanjay Iyer,Corporate,Vijayawada,Andhra Pradesh
C00147,Pooja Mehta,Consumer,Panaji,Goa
C00148,Meera Rao,Corporate,Bhubaneswar,Odisha
C00149,Vikram Yadav,Consumer,Indore,Madhya Pradesh
C00150,Sneha Mehta,Small Business,Indore,Madhya Pradesh
C00151,Sneha Gupta,Corporate,Ahmedabad,Gujarat
C00152,Aditya Mishra,Consumer,Raipur,Chhattisgarh
C00153,Priya Mishra,Consumer,Jaipur,Rajasthan
C00154,Aarav Gupta,Premium,Lucknow,Uttar Pradesh
C00155,Kavya Gupta,Consumer,Ludhiana,Punjab
C00156,Vikram Patel,Consumer,Kochi,Kerala
C00157,Manish Das,Consumer,Jaipur,Rajasthan
C00158,Aditya Nair,Consumer,New Delhi,Delhi
C00159,Rohan Kumar,Corporate,Panaji,Goa
C00160,Meera Naidu,Corporate,Kolkata,West Bengal
C00161,Priya Naidu,Premium,Indore,Madhya Pradesh
C00162,Sneha Das,Premium,Bhubaneswar,Odisha
C00163,Ishita Verma,Consumer,Ludhiana,Punjab
C00164,Sneha Das,Consumer,Indore,Madhya Pradesh
C00165,Neha Naidu,Premium,Ludhiana,Punjab
C00166,Aditya Naidu,Consumer,Ludhiana,Punjab
C00167,Meera Naidu,Consumer,Patna,Bihar
C00168,Aarav Reddy,Consumer,Bhubaneswar,Odisha
C00169,Ishita Naidu,Premium,Lucknow,Uttar Pradesh
